,lvl12,etime,pressure,gph,temp,rh,dpdp,wdir,station-code,year,month,day,hour,reltime,npv,lattitude,longitude,wspd
60,30,0.0,27371.557166103103,2795.0,0.0,0.0,0.0,246.66666666666666,INM00042103,1928.0,5.0,18.0,99.0,130.0,6.0,303833.0,767667.0,65.0
61,30,0.0,27371.557166103103,1692.5,0.0,0.0,0.0,332.5,INM00042103,1928.0,5.0,19.0,99.0,30.0,4.0,303833.0,767667.0,72.5
62,30,0.0,27371.557166103103,1692.5,0.0,0.0,0.0,310.0,INM00042103,1928.0,5.0,20.0,99.0,30.0,4.0,303833.0,767667.0,92.5
63,30,0.0,27371.557166103103,1775.8333333333333,0.0,0.0,0.0,329.1666666666667,INM00042103,1928.0,5.0,21.0,99.0,1055.0,4.166666666666667,303833.0,767667.0,125.0
64,30,0.0,27371.557166103103,2628.3333333333335,0.0,0.0,0.0,325.0,INM00042103,1928.0,5.0,23.0,99.0,30.0,6.0,303833.0,767667.0,111.66666666666667
65,30,0.0,27371.557166103103,2171.1111111111113,0.0,0.0,0.0,234.44444444444446,INM00042103,1928.0,5.0,24.0,99.0,296.6666666666667,5.0,303833.0,767667.0,72.22222222222223
66,30,0.0,27371.557166103103,2628.3333333333335,0.0,0.0,0.0,301.6666666666667,INM00042103,1928.0,5.0,25.0,99.0,130.0,6.0,303833.0,767667.0,83.33333333333333
67,30,0.0,27371.557166103106,2154.0,0.0,0.0,0.0,316.0,INM00042103,1928.0,5.0,26.0,99.0,130.0,5.0,303833.0,767667.0,114.0
68,30,0.0,27371.557166103103,1256.6666666666667,0.0,0.0,0.0,296.6666666666667,INM00042103,1928.0,5.0,28.0,99.0,30.0,3.0,303833.0,767667.0,70.0
69,30,0.0,27371.557166103106,2154.0,0.0,0.0,0.0,276.0,INM00042103,1928.0,5.0,29.0,99.0,130.0,5.0,303833.0,767667.0,46.0
70,30,0.0,27371.557166103103,4221.25,0.0,0.0,0.0,252.5,INM00042103,1928.0,5.0,30.0,99.0,30.0,8.0,303833.0,767667.0,102.5
71,30,0.0,27371.557166103103,3395.714285714286,0.0,0.0,0.0,205.71428571428572,INM00042103,1928.0,5.0,31.0,99.0,30.0,7.0,303833.0,767667.0,55.714285714285715
72,30,0.0,27371.557166103106,2154.0,0.0,0.0,0.0,302.0,INM00042103,1928.0,6.0,1.0,99.0,30.0,5.0,303833.0,767667.0,42.0
73,30,0.0,27371.557166103103,1256.6666666666667,0.0,0.0,0.0,306.6666666666667,INM00042103,1928.0,6.0,2.0,99.0,30.0,3.0,303833.0,767667.0,50.0
74,30,0.0,27371.557166103106,2154.0,0.0,0.0,0.0,246.0,INM00042103,1928.0,6.0,3.0,99.0,30.0,5.0,303833.0,767667.0,76.0
75,30,0.0,27371.557166103106,2154.0,0.0,0.0,0.0,228.0,INM00042103,1928.0,6.0,4.0,99.0,30.0,5.0,303833.0,767667.0,62.0
76,30,0.0,27371.557166103103,1692.5,0.0,0.0,0.0,285.0,INM00042103,1928.0,6.0,5.0,99.0,230.0,4.0,303833.0,767667.0,87.5
77,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,205.0,INM00042103,1928.0,6.0,6.0,99.0,130.0,6.0,303833.0,767667.0,95.0
78,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,206.0,INM00042103,1928.0,6.0,7.0,99.0,30.0,5.0,303833.0,767667.0,62.0
79,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,146.66666666666666,INM00042103,1928.0,6.0,8.0,99.0,30.0,6.0,303833.0,767667.0,63.333333333333336
80,30,0.0,27371.557166103106,2656.0,0.0,0.0,0.0,222.0,INM00042103,1928.0,6.0,9.0,99.0,725.0,6.9,303833.0,767667.0,58.5
81,30,0.0,27371.557166103103,2434.285714285714,0.0,0.0,0.0,221.42857142857142,INM00042103,1928.0,6.0,10.0,99.0,1130.0,7.0,303833.0,767667.0,50.0
82,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,175.0,INM00042103,1928.0,6.0,11.0,99.0,30.0,8.0,303833.0,767667.0,53.75
83,30,0.0,27371.557166103103,1923.3333333333333,0.0,0.0,0.0,266.6666666666667,INM00042103,1928.0,6.0,12.0,99.0,671.6666666666666,6.166666666666667,303833.0,767667.0,80.0
84,30,0.0,27371.557166103103,2434.285714285714,0.0,0.0,0.0,244.28571428571428,INM00042103,1928.0,6.0,13.0,99.0,30.0,7.0,303833.0,767667.0,54.285714285714285
85,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,198.33333333333334,INM00042103,1928.0,6.0,14.0,99.0,30.0,6.0,303833.0,767667.0,68.33333333333333
86,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,233.75,INM00042103,1928.0,6.0,15.0,99.0,30.0,8.0,303833.0,767667.0,75.0
87,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,196.0,INM00042103,1928.0,6.0,16.0,99.0,30.0,5.0,303833.0,767667.0,56.0
88,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,273.32021557743127,INM00042103,1928.0,6.0,17.0,99.0,30.0,5.0,303833.0,767667.0,61.7019838201521
89,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,298.3333333333333,INM00042103,1928.0,6.0,18.0,99.0,30.0,6.0,303833.0,767667.0,65.0
90,30,0.0,27371.557166103103,1643.6363636363637,0.0,0.0,0.0,179.0909090909091,INM00042103,1928.0,6.0,19.0,99.0,1075.4545454545455,5.545454545454546,303833.0,767667.0,69.0909090909091
91,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,183.33333333333334,INM00042103,1928.0,6.0,20.0,99.0,230.0,6.0,303833.0,767667.0,66.66666666666667
92,30,0.0,27371.557166103103,3416.470588235294,0.0,0.0,0.0,244.11764705882354,INM00042103,1928.0,6.0,21.0,99.0,1112.3529411764705,8.529411764705882,303833.0,767667.0,67.6470588235294
93,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,231.66666666666666,INM00042103,1928.0,6.0,23.0,99.0,130.0,6.0,303833.0,767667.0,81.66666666666667
94,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,240.0,INM00042103,1928.0,6.0,24.0,99.0,130.0,6.0,303833.0,767667.0,80.0
95,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,141.66666666666666,INM00042103,1928.0,6.0,26.0,99.0,30.0,6.0,303833.0,767667.0,46.666666666666664
96,30,0.0,27371.557166103103,3130.0,0.0,0.0,0.0,185.82513473589455,INM00042103,1928.0,6.0,27.0,99.0,30.0,8.0,303833.0,767667.0,67.31373988759506
97,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,198.75,INM00042103,1928.0,6.0,28.0,99.0,30.0,8.0,303833.0,767667.0,40.0
98,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,208.75,INM00042103,1928.0,6.0,29.0,99.0,30.0,8.0,303833.0,767667.0,50.0
99,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,240.0,INM00042103,1928.0,6.0,30.0,99.0,30.0,6.0,303833.0,767667.0,60.0
100,30,0.0,27371.557166103103,520.0,0.0,0.0,0.0,110.0,INM00042103,1928.0,7.0,1.0,99.0,30.0,2.0,303833.0,767667.0,60.0
101,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,202.0,INM00042103,1928.0,7.0,2.0,99.0,30.0,5.0,303833.0,767667.0,52.0
102,30,0.0,27371.557166103103,1643.6363636363637,0.0,0.0,0.0,130.6000979897415,INM00042103,1928.0,7.0,3.0,99.0,1075.4545454545455,5.545454545454546,303833.0,767667.0,51.68271991825095
103,30,0.0,27371.557166103103,2370.909090909091,0.0,0.0,0.0,137.27272727272728,INM00042103,1928.0,7.0,5.0,99.0,757.2727272727273,6.636363636363637,303833.0,767667.0,100.9090909090909
104,30,0.0,27371.557166103103,3130.0,0.0,0.0,0.0,130.0,INM00042103,1928.0,7.0,6.0,99.0,30.0,8.0,303833.0,767667.0,78.75
105,30,0.0,27371.557166103103,2434.285714285714,0.0,0.0,0.0,160.0,INM00042103,1928.0,7.0,7.0,99.0,130.0,7.0,303833.0,767667.0,37.142857142857146
106,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,119.15026947178913,INM00042103,1928.0,7.0,8.0,99.0,30.0,4.0,303833.0,767667.0,49.62747977519013
107,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,298.3333333333333,INM00042103,1928.0,7.0,9.0,99.0,30.0,6.0,303833.0,767667.0,55.0
108,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,241.66666666666666,INM00042103,1928.0,7.0,10.0,99.0,30.0,6.0,303833.0,767667.0,48.333333333333336
109,30,0.0,27371.557166103103,3006.6666666666665,0.0,0.0,0.0,275.8333333333333,INM00042103,1928.0,7.0,11.0,99.0,855.0,7.5,303833.0,767667.0,75.0
110,30,0.0,27371.557166103103,2434.285714285714,0.0,0.0,0.0,238.57142857142858,INM00042103,1928.0,7.0,12.0,99.0,30.0,7.0,303833.0,767667.0,67.14285714285714
111,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,250.0,INM00042103,1928.0,7.0,13.0,99.0,30.0,6.0,303833.0,767667.0,68.33333333333333
112,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,246.0,INM00042103,1928.0,7.0,14.0,99.0,30.0,5.0,303833.0,767667.0,64.0
113,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,246.0,INM00042103,1928.0,7.0,15.0,99.0,30.0,5.0,303833.0,767667.0,70.0
114,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,270.0,INM00042103,1928.0,7.0,16.0,99.0,130.0,5.0,303833.0,767667.0,92.0
115,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,208.75,INM00042103,1928.0,7.0,17.0,99.0,580.0,4.0,303833.0,767667.0,60.0
